mode,sg_bb,depth,sg_m,dino_bb,dino_m,clip_bb,precision,recall,f3,top_k,sg_map
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.07060906714138135,0.4111422289301396,0.2549917920382566,10,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.011363636363636364,0.003041283662225221,0.003247929174017873,10,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.3400258967223253,0.14531004113342733,0.15004968223216134,10,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.041636841290903684,0.4860433428907693,0.21492056534850695,20,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.020292207792207792,0.005399689145630704,0.005745230529138726,20,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.3046631466477245,0.19455404307569604,0.19326476673421497,20,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.02984702694592605,0.5184471407232102,0.18098593643920846,30,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.025974025974025976,0.006596402335038699,0.006993408473018787,30,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.25721000190179905,0.22790345205416346,0.21762338719191043,30,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.023567195173832427,0.5454044336265975,0.15738591776979238,40,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.028409090909090908,0.007049390003935458,0.0074864054346484975,40,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.22217239985106552,0.2531628967941277,0.23118889030733664,40,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.01970820756557013,0.5694765456511064,0.14038596040865875,50,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.03409090909090909,0.008074102574914263,0.0085979823633305,50,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.19153332459172231,0.2718870207942258,0.23819353389921333,50,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.017938538278579545,0.5853519716320519,0.13190899163387998,60,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.03463203463203463,0.008190058048012594,0.008723825512429463,60,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.16803393828178328,0.28576808537835563,0.24175838559854543,60,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.016534033544786955,0.6007759752555397,0.12478295039720473,70,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035849567099567096,0.008468351183448587,0.00900574557320393,70,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.1526742689393328,0.3022953681764081,0.24753933343650367,70,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.015354471522038072,0.6134670562704845,0.11838173591303348,80,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.03571428571428571,0.00863068884578625,0.009168998368929553,80,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.13623924822585684,0.3150672710146784,0.24832864625618273,80,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.014286671469150585,0.6238141789349773,0.11225582354941459,90,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.0349025974025974,0.00863068884578625,0.00916172276684501,90,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.123638450320297,0.3262263597031311,0.24870452647250682,90,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.013399121904704079,0.6327538481222114,0.10695692698810276,100,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.03449675324675325,0.00863068884578625,0.009159087415183684,100,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.11354807702322561,0.33579705132476806,0.24790869777558763,100,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.012573358804621626,0.6385496034607953,0.10172372185435664,110,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.033685064935064936,0.00863068884578625,0.009157085529051343,110,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.10434537047883026,0.3463592862579446,0.24743195193024556,110,0.002823332290733735
