mode,sg_bb,dino_bb,clip_bb,sg_m,sg_map,sg_time,dino_m,dino_map,dino_time,clip_map,clip_time,top_k,precision,recall,f3,total_time
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,10,0.08540780619323551,0.45942462338029094,0.2919810334849905,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,10,0.24186958874458875,0.07164222001048778,0.07584053154186247,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,10,0.3805671511028654,0.22055771609343036,0.22276392510548682,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,20,0.04952190880357437,0.5365451981809889,0.24542742712171836,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,20,0.29588744588744587,0.1059839964275602,0.11090964414440178,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,20,0.30364910837719283,0.28301417588385214,0.2709185069711029,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,30,0.035340989783593506,0.5717557307941188,0.20717651317626992,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,30,0.3139629715522573,0.12609260805402897,0.13083983439653585,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,30,0.23931476481358877,0.3214707844225844,0.29042614101472647,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,40,0.027720335421096805,0.5984747586256371,0.1800625526256281,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,40,0.31951264674478963,0.14159963214465698,0.1455149543452864,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,40,0.195324194818257,0.35037123101783624,0.2987206555142577,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,50,0.023036926548968058,0.6242320436863027,0.1606812313094896,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,50,0.3159305974653881,0.15552173547422785,0.15820915661340887,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,50,0.1623915800713861,0.37313330761155916,0.2995753681451473,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,60,0.019740858023250703,0.6419565723751888,0.14470692989073525,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,60,0.3085304616764536,0.16650767076008194,0.16764737453953268,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,60,0.1390744534651719,0.3917280117307571,0.29802281666516006,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,70,0.017374709627344425,0.6575116701029851,0.1321628771774829,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,70,0.30443043376118367,0.1788882104945178,0.1785695293584484,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,70,0.12084475886828497,0.4109728601522194,0.2970266390886747,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,80,0.015547097951752058,0.6695906524031524,0.12165624631065494,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,80,0.3003745724423484,0.19030612304521297,0.18846974800400934,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,80,0.1049427431372719,0.4275963384532665,0.2920310063609257,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,90,0.01406415308680088,0.680116217656802,0.11269538396075804,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,90,0.29062822098536384,0.2013634578778534,0.19716578027700168,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,90,0.09326442023967547,0.4409571786571166,0.28617135812015815,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,100,0.01290205568575477,0.6910487104886456,0.10536469479721275,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,100,0.27895225288631514,0.21281313416710188,0.20624171618517406,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,100,0.08361810774132154,0.4519043213412723,0.27947518250794734,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,110,0.012221480164342841,0.6957155104572026,0.10084882773049213,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,110,0.2685222627294971,0.21724709306534648,0.2090049107776523,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,110,0.07803261137017728,0.45916155274623094,0.27435098288355275,194.12691283226013
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,120,0.011601491813049017,0.7009954375106686,0.09667746946747949,194.12691283226013
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,120,0.25839300080233296,0.22053091692546908,0.21070551028947632,194.12691283226013
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-base-patch32,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.13366946789995784,6.1021857261657715,120,0.07297904897460548,0.4654406294595609,0.269208078609881,194.12691283226013
