mode,global_family,global_bb,global_m,global_map,global_time,local_family,local_bb,local_m,local_map,local_time,sem_family,sem_bb,sem_map,sem_time,top_k,precision,recall,f3,total_time
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,10,0.06458028656752346,0.36236835252484123,0.22719851851792758,1446.2189137935638
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,10,0.1690340909090909,0.04483140920067963,0.04777466822840999,1446.2189137935638
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,10,0.26918257833436404,0.1383379851198797,0.140829117780231,1446.2189137935638
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,50,0.02006964700958205,0.5466067085474792,0.14034594752516438,1446.2189137935638
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,50,0.22883847753977624,0.1096987364558029,0.1110660633427847,1446.2189137935638
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,50,0.11263376147270845,0.26592244256253045,0.21238739207001017,1446.2189137935638
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,100,0.011853892686166241,0.6393344383472821,0.0969024801629269,1446.2189137935638
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,100,0.20620956851305453,0.15152948244883885,0.14671018569877733,1446.2189137935638
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch32,0.13366944795148103,251.43589401245117,100,0.06380554200769899,0.3416685561965833,0.2111624934432147,1446.2189137935638
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,10,0.07362598357649737,0.41972582547269816,0.2606836979296204,1437.1984221935272
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,10,0.1708603896103896,0.04601761026512745,0.04894533845406397,1437.1984221935272
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,10,0.293030753968254,0.15389819376044547,0.15651651573242362,1437.1984221935272
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,50,0.0224886911428384,0.6117645328421684,0.15729182386974103,1437.1984221935272
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-base-patch16,0.19537069488873585,242.41540241241455,50,0.2495569212533498,0.11188290385554518,0.11427667765952387,1437.1984221935272
