mode,global_family,global_bb,global_m,global_map,local_family,local_bb,local_m,local_map,sem_family,sem_bb,sem_map,top_k,precision,recall,f3,total_time
union,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,10,0.06461106022052619,0.36231874935023806,0.227191629974871,986.8300218582153
intersection,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,10,0.1690340909090909,0.04483140920067963,0.047774668228410005,986.8300218582153
majority,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,10,0.26866850907029477,0.1383379851198797,0.14081780610915165,986.8300218582153
union,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,20,0.04000297476539759,0.44003555179488624,0.20060895845276164,986.8300218582153
intersection,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,20,0.20028409090909088,0.06581490497767235,0.06911768101348857,986.8300218582153
majority,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,20,0.20832891855619132,0.1881127666949382,0.17973175730033988,986.8300218582153
union,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,30,0.029640019495013686,0.4873049609889516,0.17549268580515695,986.8300218582153
intersection,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,30,0.21935876623376624,0.08447722355524112,0.08759432793919135,986.8300218582153
majority,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,30,0.1637138346279389,0.218620317511408,0.19666006092903116,986.8300218582153
union,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,40,0.02376368291712336,0.5212575141176411,0.15552855524044326,986.8300218582153
intersection,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,40,0.22667523448773447,0.09703277091192486,0.09922035759428831,986.8300218582153
majority,SuperGlobal,.\weights\CVPR2022_CVNet_R50.pyth,0,0.15977721859510113,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.0774959542836505,CLIP,openai/clip-vit-base-patch32,0.13366946789995784,40,0.13512581589585793,0.24366250036250986,0.20705168255527795,986.8300218582153
