field_id,camera_id,location_id,phyiscal_field_id,image_id,image_taken_utc,company_name,field_friendly_name,field_species,field_nbr_of_plants,field_crop,field_cultivation_type,field_orientation,field_running_meter,field_plant_date_time_utc,field_destroy_date_time_utc,camera_friendly_name,camera_orientation,camera_nbr_of_plants,url_to_picture,location_description,location_row_nbr,image_annotated,image_quality_type,image_quality_descr,image_visible_gutterwidth,image_default_gutterwidth,corporation_name,date,year,week,hour,number_of_plants_on_image
0FB3C1AD-DAB1-4DBA-89C8-ACC34C8BE017,6B6D1A64-AE98-4AF3-9C8E-B01A87B0218F,A2D6117C-FFF3-4705-A2FD-8C71A7355D01,B11FAC72-B4F2-4895-A0E0-6471019B4D27,53157D5B-ECC4-4A8F-B08C-93627479B7CA,2021-06-27 06:41:08,Genson B.V.,St Oederode Stelling 4,Magnum,271920.0,strawberry,Microtunnel,,22660.0,,2021-08-07,SCC-V2-54,310.0,6,https://api.yieldcomputer.com/api/images/download/53157D5B-ECC4-4A8F-B08C-93627479B7CA,Links,Links,True,6,Over exposed,,,,2021-06-27,2021,25,6,6.0
0FB3C1AD-DAB1-4DBA-89C8-ACC34C8BE017,394DCBBF-375F-4EB4-AE0E-7A88AD5233AE,B514627D-B955-4B65-A2CB-EE9242467D16,B11FAC72-B4F2-4895-A0E0-6471019B4D27,BFE49726-AD73-45D0-82E8-9086F39EF79D,2021-06-29 15:34:21,Genson B.V.,St Oederode Stelling 4,Magnum,271920.0,strawberry,Microtunnel,,22660.0,,2021-08-07,SCC-V2-28,130.0,6,https://api.yieldcomputer.com/api/images/download/BFE49726-AD73-45D0-82E8-9086F39EF79D,Midden,Midden,True,6,Over exposed,,,,2021-06-29,2021,26,15,6.0
135AB5E8-5F0A-44EB-AC07-E1C00B47255C,2D4308B7-3E46-4CD8-BB1F-D9AA8ACF8792,F46BEC53-F4FB-4421-A07B-15A7F8E2B8B8,91F38543-D6C2-452D-963E-FA459B05E36E,E3A96B1F-240D-4A54-98F3-3BD60EDF5B25,2020-04-15 06:30:54,De Ruwenberg B.V,Kas Pa,Elsanta,52800.0,strawberry,Glasshouse,354.0,,2019-08-15,2020-06-12,,,3,https://api.yieldcomputer.com/api/images/download/E3A96B1F-240D-4A54-98F3-3BD60EDF5B25,Afdeling 1,,True,0,None,,,BerryWorld,2020-04-15,2020,16,6,3.0
135AB5E8-5F0A-44EB-AC07-E1C00B47255C,4B41230C-49C2-413D-9AAB-4A5A8B421ECF,F46BEC53-F4FB-4421-A07B-15A7F8E2B8B8,91F38543-D6C2-452D-963E-FA459B05E36E,3EF7C2CA-BD6B-47D4-A207-9FD339B92B87,2020-04-07 07:30:54,De Ruwenberg B.V,Kas Pa,Elsanta,52800.0,strawberry,Glasshouse,354.0,,2019-08-15,2020-06-12,RBKP3,,6,https://api.yieldcomputer.com/api/images/download/3EF7C2CA-BD6B-47D4-A207-9FD339B92B87,Afdeling 1,,True,0,None,,,BerryWorld,2020-04-07,2020,15,7,6.0
135AB5E8-5F0A-44EB-AC07-E1C00B47255C,A57F327F-CF8D-453B-A74E-6C3EF4210FEB,F46BEC53-F4FB-4421-A07B-15A7F8E2B8B8,91F38543-D6C2-452D-963E-FA459B05E36E,4EBD12AD-6F06-4E28-B8DB-55C7B9CBA6EC,2020-04-21 06:58:41,De Ruwenberg B.V,Kas Pa,Elsanta,52800.0,strawberry,Glasshouse,354.0,,2019-08-15,2020-06-12,RBKP4,,6,https://api.yieldcomputer.com/api/images/download/4EBD12AD-6F06-4E28-B8DB-55C7B9CBA6EC,Afdeling 1,,False,0,None,,,BerryWorld,2020-04-21,2020,17,6,6.0
135AB5E8-5F0A-44EB-AC07-E1C00B47255C,A57F327F-CF8D-453B-A74E-6C3EF4210FEB,F46BEC53-F4FB-4421-A07B-15A7F8E2B8B8,91F38543-D6C2-452D-963E-FA459B05E36E,B62A7060-2973-4972-94EE-ECE70A37460D,2020-04-04 07:58:39,De Ruwenberg B.V,Kas Pa,Elsanta,52800.0,strawberry,Glasshouse,354.0,,2019-08-15,2020-06-12,RBKP4,,6,https://api.yieldcomputer.com/api/images/download/B62A7060-2973-4972-94EE-ECE70A37460D,Afdeling 1,,False,0,None,,,BerryWorld,2020-04-04,2020,14,7,6.0
135AB5E8-5F0A-44EB-AC07-E1C00B47255C,A57F327F-CF8D-453B-A74E-6C3EF4210FEB,F46BEC53-F4FB-4421-A07B-15A7F8E2B8B8,91F38543-D6C2-452D-963E-FA459B05E36E,EDCEFDBD-F648-4A43-8C4A-F5FD38C9CA5D,2019-09-18 15:25:25,De Ruwenberg B.V,Kas Pa,Elsanta,52800.0,strawberry,Glasshouse,354.0,,2019-08-15,2020-06-12,RBKP4,,6,https://api.yieldcomputer.com/api/images/download/EDCEFDBD-F648-4A43-8C4A-F5FD38C9CA5D,Afdeling 1,,False,0,None,,,BerryWorld,2019-09-18,2019,38,15,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,1E5AE33A-2599-483B-8EC2-A11437150717,10182C6A-BDC3-46CA-A5B5-D11A2A88BEDC,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,02626331-3F25-42BF-AAFA-CDC6C054D94E,2021-06-14 11:32:26,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-59,350.0,6,https://api.yieldcomputer.com/api/images/download/02626331-3F25-42BF-AAFA-CDC6C054D94E,Pad 8998,8998,True,6,Over exposed,,,BerryWorld,2021-06-14,2021,24,11,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,1E5AE33A-2599-483B-8EC2-A11437150717,10182C6A-BDC3-46CA-A5B5-D11A2A88BEDC,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,ABD2F8CF-8508-4355-B3EF-1DE8F12330F4,2021-06-13 11:43:13,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-59,350.0,6,https://api.yieldcomputer.com/api/images/download/ABD2F8CF-8508-4355-B3EF-1DE8F12330F4,Pad 8998,8998,True,6,Over exposed,,,BerryWorld,2021-06-13,2021,23,11,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,1E5AE33A-2599-483B-8EC2-A11437150717,10182C6A-BDC3-46CA-A5B5-D11A2A88BEDC,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,F40A389A-50AB-4248-AEE5-B60064218DAE,2021-06-17 07:37:51,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-59,350.0,6,https://api.yieldcomputer.com/api/images/download/F40A389A-50AB-4248-AEE5-B60064218DAE,Pad 8998,8998,True,6,Over exposed,,,BerryWorld,2021-06-17,2021,24,7,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,542EDE36-3C67-4132-BBE4-0DA6537403A0,10182C6A-BDC3-46CA-A5B5-D11A2A88BEDC,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,D8596BF8-15C7-45D7-B9A1-61F48EB8B79A,2021-05-30 16:58:16,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-92,170.0,6,https://api.yieldcomputer.com/api/images/download/D8596BF8-15C7-45D7-B9A1-61F48EB8B79A,Pad 8998,8998,True,2,Bad focus,,,BerryWorld,2021-05-30,2021,21,16,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,542EDE36-3C67-4132-BBE4-0DA6537403A0,10182C6A-BDC3-46CA-A5B5-D11A2A88BEDC,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,DC750020-EB22-4C0A-A671-55BAF3BD042F,2021-06-14 17:15:57,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-92,170.0,6,https://api.yieldcomputer.com/api/images/download/DC750020-EB22-4C0A-A671-55BAF3BD042F,Pad 8998,8998,True,6,Over exposed,,,BerryWorld,2021-06-14,2021,24,17,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,424AA77D-CBC5-4477-A884-419DB58B2ECA,565B0986-B2BD-4337-9C05-721F5EB06926,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,73A7D729-D372-4F3C-B17E-F4BFD8742589,2021-06-29 10:59:17,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-66,350.0,6,https://api.yieldcomputer.com/api/images/download/73A7D729-D372-4F3C-B17E-F4BFD8742589,Pad 8416,8416,True,1,Good,,,BerryWorld,2021-06-29,2021,26,10,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,B6760D4C-10F8-4624-B0EB-1DD20CA6880B,565B0986-B2BD-4337-9C05-721F5EB06926,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,B3EEEA9B-D3B3-4E19-BEAE-AB9B25AD48E6,2021-06-18 16:56:51,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-82,170.0,6,https://api.yieldcomputer.com/api/images/download/B3EEEA9B-D3B3-4E19-BEAE-AB9B25AD48E6,Pad 8416,8416,True,6,Over exposed,,,BerryWorld,2021-06-18,2021,24,16,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,54611336-D489-440D-8FB4-7A3642BB68D3,660DE629-B7E8-4CA4-B740-4461E4513B94,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,00D0B2FA-3D7F-4C41-96CC-80ADFF836CF6,2021-06-18 11:50:15,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-65,350.0,6,https://api.yieldcomputer.com/api/images/download/00D0B2FA-3D7F-4C41-96CC-80ADFF836CF6,Pad 8801,8801,True,6,Over exposed,,,BerryWorld,2021-06-18,2021,24,11,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,54611336-D489-440D-8FB4-7A3642BB68D3,660DE629-B7E8-4CA4-B740-4461E4513B94,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,66D556FE-8A72-4F7B-BB27-32D56A62A21D,2021-06-08 09:21:06,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-65,350.0,6,https://api.yieldcomputer.com/api/images/download/66D556FE-8A72-4F7B-BB27-32D56A62A21D,Pad 8801,8801,False,9,,,,BerryWorld,2021-06-08,2021,23,9,6.0
229CFE0C-F123-4BA5-83AD-EA8A5AC3056A,54611336-D489-440D-8FB4-7A3642BB68D3,660DE629-B7E8-4CA4-B740-4461E4513B94,9817F9B5-D12D-4F85-8F2C-8BD02D490F94,F9E41C05-5418-4762-A549-8DF2EFF61922,2021-07-04 07:48:12,De Ruwenberg B.V,36 2021 Stelling Overkant,Elsanta,421800.0,strawberry,Microtunnel,243.0,34972.0,2021-03-01,2021-07-18,SCC-V2-65,350.0,6,https://api.yieldcomputer.com/api/images/download/F9E41C05-5418-4762-A549-8DF2EFF61922,Pad 8801,8801,False,6,Over exposed,,,BerryWorld,2021-07-04,2021,26,7,6.0
289D3A18-BD2A-4E8C-8138-E0491B4287C5,43D933AD-2CFE-4706-86A5-FAC2FCA06E30,5E02B62C-5EB3-4C27-A36B-298772FC9F57,B078666B-2019-4B8C-AB81-0246EE87DDCB,25C6316E-4054-43FA-AFA8-7D6AB1228AB7,2019-05-04 11:45:00,Kwekerij Vermeulen,Kas Heistraat,Elsanta,257250.0,strawberry,Glasshouse,336.0,,2018-08-16,2019-06-15,,,3,https://api.yieldcomputer.com/api/images/download/25C6316E-4054-43FA-AFA8-7D6AB1228AB7,Afdeling 4,,False,0,None,,,BerryWorld,2019-05-04,2019,18,11,3.0
289D3A18-BD2A-4E8C-8138-E0491B4287C5,9A7B41AA-4C04-4CA4-AAB7-8C76EAF6274B,5E02B62C-5EB3-4C27-A36B-298772FC9F57,B078666B-2019-4B8C-AB81-0246EE87DDCB,097D65DE-0AE5-48F6-9DB5-AF1D907B76ED,2019-04-21 11:36:01,Kwekerij Vermeulen,Kas Heistraat,Elsanta,257250.0,strawberry,Glasshouse,336.0,,2018-08-16,2019-06-15,,,3,https://api.yieldcomputer.com/api/images/download/097D65DE-0AE5-48F6-9DB5-AF1D907B76ED,Afdeling 4,,True,0,None,,,BerryWorld,2019-04-21,2019,16,11,3.0
289D3A18-BD2A-4E8C-8138-E0491B4287C5,9A7B41AA-4C04-4CA4-AAB7-8C76EAF6274B,5E02B62C-5EB3-4C27-A36B-298772FC9F57,B078666B-2019-4B8C-AB81-0246EE87DDCB,78CA1CAA-ECA8-4CD3-9F05-235FE70FD362,2019-05-23 11:43:53,Kwekerij Vermeulen,Kas Heistraat,Elsanta,257250.0,strawberry,Glasshouse,336.0,,2018-08-16,2019-06-15,,,3,https://api.yieldcomputer.com/api/images/download/78CA1CAA-ECA8-4CD3-9F05-235FE70FD362,Afdeling 4,,False,0,None,,,BerryWorld,2019-05-23,2019,21,11,3.0
289D3A18-BD2A-4E8C-8138-E0491B4287C5,9A7B41AA-4C04-4CA4-AAB7-8C76EAF6274B,5E02B62C-5EB3-4C27-A36B-298772FC9F57,B078666B-2019-4B8C-AB81-0246EE87DDCB,844F9F95-2BAA-4BD9-A201-0DA46CD1F684,2019-06-01 11:12:42,Kwekerij Vermeulen,Kas Heistraat,Elsanta,257250.0,strawberry,Glasshouse,336.0,,2018-08-16,2019-06-15,,,3,https://api.yieldcomputer.com/api/images/download/844F9F95-2BAA-4BD9-A201-0DA46CD1F684,Afdeling 4,,True,0,None,,,BerryWorld,2019-06-01,2019,22,11,3.0
289D3A18-BD2A-4E8C-8138-E0491B4287C5,9A7B41AA-4C04-4CA4-AAB7-8C76EAF6274B,5E02B62C-5EB3-4C27-A36B-298772FC9F57,B078666B-2019-4B8C-AB81-0246EE87DDCB,FD1A0763-82DE-4509-B72F-762AF313A82D,2019-04-29 11:43:52,Kwekerij Vermeulen,Kas Heistraat,Elsanta,257250.0,strawberry,Glasshouse,336.0,,2018-08-16,2019-06-15,,,3,https://api.yieldcomputer.com/api/images/download/FD1A0763-82DE-4509-B72F-762AF313A82D,Afdeling 4,,True,0,None,,,BerryWorld,2019-04-29,2019,18,11,3.0
289D3A18-BD2A-4E8C-8138-E0491B4287C5,327F95C7-D84C-4BC1-AC5A-4D8BC7C75E94,CD2E2353-5AC6-4654-8229-FD5DDAA1F890,B078666B-2019-4B8C-AB81-0246EE87DDCB,DEA78D8A-F130-4699-858B-4655ADA6F92F,2019-04-16 11:33:05,Kwekerij Vermeulen,Kas Heistraat,Elsanta,257250.0,strawberry,Glasshouse,336.0,,2018-08-16,2019-06-15,,,3,https://api.yieldcomputer.com/api/images/download/DEA78D8A-F130-4699-858B-4655ADA6F92F,Afdeling 3,,True,0,None,,,BerryWorld,2019-04-16,2019,16,11,3.0
289D3A18-BD2A-4E8C-8138-E0491B4287C5,E6E552E9-93E4-42E1-999D-6875BC78CCFD,CD2E2353-5AC6-4654-8229-FD5DDAA1F890,B078666B-2019-4B8C-AB81-0246EE87DDCB,1986F09D-9B25-4F83-AE42-BFF233E96FED,2019-04-05 11:04:29,Kwekerij Vermeulen,Kas Heistraat,Elsanta,257250.0,strawberry,Glasshouse,336.0,,2018-08-16,2019-06-15,,,3,https://api.yieldcomputer.com/api/images/download/1986F09D-9B25-4F83-AE42-BFF233E96FED,Afdeling 3,,True,0,None,,,BerryWorld,2019-04-05,2019,14,11,3.0
